id,nome_completo,nome_urna,nome_social,numero,cargo,partido_sigla,partido_nome,coligacao,coligacao_composicao,situacao_eleitoral,situacao_candidatura,genero,grau_instrucao,cor_raca,uf,codigo_ue,unidade_eleitoral
250002534214,ADALBERTO GODOY FREITAS,ADALBERTO FREITAS,#NULO,15707,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,SUPERIOR COMPLETO,PRETA,SP,SP,SÃO PAULO
250002534221,AIRTON FERREIRA PORTO,AIRTON PORTO,#NULO,15800,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534215,ALEXANDRA RACHEL COHEN,ALEXANDRA COHEN,#NULO,15073,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534199,ALLINY FERNANDA SARTORI PADALINO ROGERIO,ALLINY SARTORI,#NULO,15333,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,FEMININO,SUPERIOR COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534225,ANDERSON HENRIQUE DA SILVA,ANDERSON HENRIQUE,#NULO,15152,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,SUPERIOR COMPLETO,PRETA,SP,SP,SÃO PAULO
250002534240,ANDRE LUIZ NASCIMENTO DA SILVA,ANDRE COKITO,#NULO,15011,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,SP,SP,SÃO PAULO
250002534206,ELISABETE MAZUCHI WELSK BORGES DE CARVALHO,BETE WELSH,#NULO,15022,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,FEMININO,SUPERIOR COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534231,CAIO FIORI DIAS,CAIO DO VOVÔ ANÉSIO,#NULO,15017,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,SUPERIOR COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534242,JORGE LUIS CARUSO,CARUSO,#NULO,15000,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,SUPERIOR COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002533948,JOSÉ MARILTON DA CRUZ,CHAPINHA DA VELA,#NULO,15026,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,SP,SP,SÃO PAULO
250002534227,CHRISTIANE BATISTA RAMOS CAMPOS,CHRIS RAMOS,#NULO,15715,DEPUTADO ESTADUAL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PARTIDO ISOLADO,MDB,#NULO,#NE,FEMININO,SUPERIOR COMPLETO,BRANCA,SP,SP,SÃO PAULO
